,g,cpi,u,i,oil,usdgbp,p,he
2010Q1,0.8,3.3,8.0,0.5,76.25,1.5611117184439542,88.3720668690409,274.5127552047272
2010Q2,1.1,3.5,7.9,0.5,78.51,1.49235988606777,89.47470290215934,261.15342798180876
2010Q3,0.6,3.1,7.8,0.5,76.82000000000001,1.5519054267517072,89.4589277467612,253.9736142822581
2010Q4,0.1,3.4,7.9,0.5,86.46666666666665,1.5808476104243827,90.49958067414993,256.38780381214207
2011Q1,0.2,4.1,7.8,0.5,104.96,1.6021452816240371,91.99532161067158,282.47362510566427
2011Q2,0.0,4.4,7.9,0.5,117.36,1.630994978528504,93.41158982985436,276.8226336607173
2011Q3,0.2,4.7,8.3,0.5,113.34,1.609466228182401,93.66349735085898,279.87892293904844
2011Q4,0.1,4.6,8.4,0.5,109.39666666666666,1.571973681283015,94.6625613851608,303.81954751738834
2012Q1,0.9,3.5,8.2,0.5,118.49,1.5716231854177751,95.21515786704508,320.89003812003466
2012Q2,-0.1,2.8,8.0,0.5,108.41666666666669,1.5826835091168283,96.02711434509028,307.5499459970569
2012Q3,1.0,2.4,7.8,0.5,109.61333333333334,1.5813518631262802,95.9114212872796,299.47044754478185
2012Q4,-0.1,2.7,7.8,0.5,110.08666666666666,1.6063733595085334,97.21845054256016,306.85774299256224
2013Q1,0.3,2.8,7.8,0.5,112.49333333333334,1.5506668953983231,97.88118228732236,340.4643304453568
2013Q2,0.7,2.7,7.7,0.5,102.57666666666668,1.5366998246921693,98.6198464324077,330.9237418928333
2013Q3,0.8,2.7,7.6,0.5,110.27,1.5522871006494772,98.50102966203612,322.82914245327487
2013Q4,0.7,2.1,7.2,0.5,109.21,1.6193680620989424,99.26003800395392,328.030927259049
2014Q1,0.8,1.7,6.7,0.5,108.16666666666669,1.655105835584788,99.5451623862068,359.5303329502968
2014Q2,0.9,1.7,6.3,0.5,109.7,1.6832443328942033,100.29638382175862,346.80808150368927
2014Q3,0.8,1.5,6.0,0.5,101.82333333333334,1.6684737049302871,99.97854510696666,337.35645386367224
2014Q4,0.7,0.9,5.7,0.5,76.40333333333334,1.582984166477966,100.15337834598948,334.59154580423
2015Q1,0.3,0.1,5.5,0.5,53.91666666666666,1.5143073574417052,99.644707548593,349.46348362768845
2015Q2,0.5,0.0,5.6,0.5,61.693333333333335,1.5333364572413803,100.29638382175862,335.7102228955712
2015Q3,0.4,0.0,5.3,0.5,50.23333333333333,1.5491844283832554,99.97854510696666,324.199552162989
2015Q4,0.6,0.1,5.1,0.5,43.57,1.5172117788931343,100.25353172433546,320.2041093346481
2016Q1,0.5,0.3,5.1,0.5,33.696666666666665,1.4310500622675193,99.94364167123877,335.8344077662086
2016Q2,0.7,0.4,4.9,0.5,45.52333333333333,1.434641655881747,100.69756935704568,323.288944648435
2016Q3,0.4,0.7,4.8,0.3423913043478261,45.78666666666667,1.3125104774148295,100.67839492271544,315.44616425458827
2016Q4,0.6,1.2,4.7,0.25,49.18666666666667,1.2414972794643535,101.45657410502749,316.68186413196696
2017Q1,1.0,2.1,4.6,0.25,53.68,1.2403190594430045,102.04245814633477,336.8419109895072
2017Q2,0.9,2.7,4.4,0.25,49.67,1.2792645337586384,103.4164037296859,335.8972134897239
2017Q3,0.7,2.8,4.3,0.25,52.10999999999999,1.3095863342191392,103.49738998055146,331.8493647958269
2017Q4,0.8,3.0,4.4,0.4130434782608695,61.53,1.327438979852683,104.50027132817831,335.99945784401694
2018Q1,0.1,2.7,4.2,0.5,66.80666666666666,1.3920160712992928,104.7976045162858,357.72610947085667
2018Q2,0.2,2.4,4.0,0.5,74.5,1.3614240851478103,105.89839741919836,353.69976580467926
2018Q3,0.3,2.5,4.1,0.6630434782608695,75.22333333333334,1.30354765057998,106.08482473006524,355.41066969633056
2018Q4,0.1,2.3,4.0,0.75,67.71333333333332,1.285896628956562,106.9037775687264,364.8954112186024
