T,hi,t_hi,cpi1,t_cpi1,n
2018Q4,-0.15824159027338502,-0.46757286086068467,-0.03402151194450179,-0.7196931404394791,71
2019Q1,-0.16103393947803868,-0.47914642801749585,-0.03374739918010537,-0.7189197301982578,72
2019Q2,-0.17115835689576575,-0.5053769529617502,-0.03563839894124445,-0.7546872178609682,73
2019Q3,-0.16766460970093908,-0.4998438516316251,-0.034784581095661155,-0.7450710993200544,74
2019Q4,-0.16314515896208917,-0.4905253841059287,-0.03345377090392273,-0.7244543306187591,75
2020Q1,-0.1605921449612196,-0.48341062639081556,-0.03297737958600848,-0.7153844234546759,75
2020Q2,-0.15844346116564667,-0.4774465671009723,-0.03262798788087571,-0.7090573653138279,75
2020Q3,-0.15678732269318205,-0.47288319921172584,-0.03240610612175298,-0.7054165863333185,75
2020Q4,-0.1556266324691901,-0.4697278226744901,-0.03229387009218798,-0.7040317021356801,75
2021Q1,-0.15491094416732482,-0.46783484914749485,-0.03226620069688894,-0.7043362527383678,75
2021Q2,-0.15456287320095857,-0.46698111398706843,-0.03229786937287271,-0.705776298918481,75
2021Q3,-0.15449698905462916,-0.46692033285736645,-0.03236706969767385,-0.7078835954432207,75
2021Q4,-0.15463170539838222,-0.4674176324996811,-0.03245663414500362,-0.7102982276998541,75
2022Q1,0.2337061193091713,0.8235984729697187,-0.0062181997261788816,-0.1361384517728608,76
2022Q2,0.2006202482823618,1.2088558843537678,0.008836516727845233,0.20957101992126223,77
2022Q3,0.2001751812115926,2.5962178437690575,0.049276947729148424,1.3658855906589313,78
2022Q4,0.17836214366379388,3.1251741376251494,0.0637556100752289,2.0147119900845407,79
2023Q1,0.1433434743182555,3.049206856324914,0.06225299719855361,2.188953547677963,80
2023Q2,0.16660042113619233,3.878879945144496,0.07825887459734232,2.8747112899047753,81
2023Q3,0.1655797738655025,3.9225482034485477,0.07827067264783792,2.9281502218880555,82
2023Q4,0.1750511005874524,3.955462311168363,0.07915360223333014,2.802547334009697,83
2024Q1,0.17244770772925783,4.023588210155797,0.07898455442691535,2.831844259991635,84
2024Q2,0.17298763508824347,4.164409037264124,0.08065104451722839,2.931584021293658,85
2024Q3,0.17619199305051464,4.318919919825776,0.08323797116646624,3.0764531486073867,86
2024Q4,0.15939088122423184,3.7835514602354503,0.07303347557095026,2.6382141058610427,87
2025Q1,0.15506607453684243,3.748963374266797,0.07171588665593653,2.6303162993766125,88
2025Q2,0.15654657018490986,3.846552538027988,0.07309348500676384,2.7079053754645908,89
2025Q3,0.1536783394081001,3.786534416733911,0.07306032876538515,2.7105316143870737,90
2025Q4,0.15570097911177466,3.8705973979026105,0.07372474906625683,2.742023467008686,91
2026Q1,0.15786727706516268,3.947653304891915,0.07438265590101525,2.7714677939659857,92
2026Q2,0.15677560985850858,3.935747719202146,0.07450249336615068,2.7891309603918257,93
