period,value,updated
2004Q4,1.4,2015-10-12T23:00:00.000Z
2005Q1,1.7,2015-10-12T23:00:00.000Z
2005Q2,2.0,2015-10-12T23:00:00.000Z
2005Q3,2.4,2015-10-12T23:00:00.000Z
2005Q4,2.1,2015-10-12T23:00:00.000Z
2006Q1,1.9,2015-10-12T23:00:00.000Z
2006Q2,2.3,2015-10-12T23:00:00.000Z
2006Q3,2.4,2015-10-12T23:00:00.000Z
2006Q4,2.7,2015-10-12T23:00:00.000Z
2007Q1,2.9,2015-10-12T23:00:00.000Z
2007Q2,2.6,2015-10-12T23:00:00.000Z
2007Q3,1.8,2015-10-12T23:00:00.000Z
2007Q4,2.1,2015-10-12T23:00:00.000Z
2008Q1,2.4,2015-10-12T23:00:00.000Z
2008Q2,3.4,2015-10-12T23:00:00.000Z
2008Q3,4.8,2015-10-12T23:00:00.000Z
2008Q4,3.9,2015-10-12T23:00:00.000Z
2009Q1,3.0,2015-10-12T23:00:00.000Z
2009Q2,2.1,2015-10-12T23:00:00.000Z
2009Q3,1.5,2015-10-12T23:00:00.000Z
2009Q4,2.1,2015-10-12T23:00:00.000Z
2010Q1,3.3,2015-10-12T23:00:00.000Z
2010Q2,3.5,2015-10-12T23:00:00.000Z
2010Q3,3.1,2015-10-12T23:00:00.000Z
2010Q4,3.4,2015-10-12T23:00:00.000Z
2011Q1,4.1,2015-10-12T23:00:00.000Z
2011Q2,4.4,2015-10-12T23:00:00.000Z
2011Q3,4.7,2015-10-12T23:00:00.000Z
2011Q4,4.6,2015-10-12T23:00:00.000Z
2012Q1,3.5,2015-10-12T23:00:00.000Z
2012Q2,2.8,2015-10-12T23:00:00.000Z
2012Q3,2.4,2015-10-12T23:00:00.000Z
2012Q4,2.7,2015-10-12T23:00:00.000Z
2013Q1,2.8,2015-10-12T23:00:00.000Z
2013Q2,2.7,2015-10-12T23:00:00.000Z
2013Q3,2.7,2015-10-12T23:00:00.000Z
2013Q4,2.1,2015-10-12T23:00:00.000Z
2014Q1,1.7,2015-10-12T23:00:00.000Z
2014Q2,1.7,2015-10-12T23:00:00.000Z
2014Q3,1.5,2015-10-12T23:00:00.000Z
2014Q4,0.9,2015-10-12T23:00:00.000Z
2015Q1,0.1,2015-10-12T23:00:00.000Z
2015Q2,0.0,2021-08-17T23:00:00.000Z
2015Q3,0.0,2015-10-12T23:00:00.000Z
2015Q4,0.1,2016-01-19T09:30:00.000Z
2016Q1,0.3,2016-04-12T08:30:00.000Z
2016Q2,0.4,2016-07-18T23:00:00.000Z
2016Q3,0.7,2016-10-17T23:00:00.000Z
2016Q4,1.2,2017-01-17T00:00:00.000Z
2017Q1,2.1,2017-04-10T23:00:00.000Z
2017Q2,2.7,2017-07-17T23:00:00.000Z
2017Q3,2.8,2017-10-16T23:00:00.000Z
2017Q4,3.0,2018-01-16T00:00:00.000Z
2018Q1,2.7,2018-04-17T23:00:00.000Z
2018Q2,2.4,2018-07-17T23:00:00.000Z
2018Q3,2.5,2018-10-16T23:00:00.000Z
2018Q4,2.3,2019-01-16T00:00:00.000Z
2019Q1,1.9,2019-04-16T23:00:00.000Z
2019Q2,2.0,2019-07-16T23:00:00.000Z
2019Q3,1.8,2019-10-15T23:00:00.000Z
2019Q4,1.4,2020-01-15T00:00:00.000Z
2020Q1,1.7,2020-04-21T23:00:00.000Z
2020Q2,0.6,2020-07-14T23:00:00.000Z
2020Q3,0.6,2020-10-20T23:00:00.000Z
2020Q4,0.5,2021-01-20T00:00:00.000Z
2021Q1,0.6,2021-04-20T23:00:00.000Z
2021Q2,2.1,2021-07-13T23:00:00.000Z
2021Q3,2.8,2021-10-19T23:00:00.000Z
2021Q4,4.9,2022-01-19T00:00:00.000Z
2022Q1,6.2,2022-04-12T23:00:00.000Z
2022Q2,9.2,2022-07-19T23:00:00.000Z
2022Q3,10.0,2022-10-18T23:00:00.000Z
2022Q4,10.7,2023-01-18T00:00:00.000Z
2023Q1,10.2,2023-04-18T23:00:00.000Z
2023Q2,8.4,2023-07-18T23:00:00.000Z
2023Q3,6.7,2023-10-17T23:00:00.000Z
2023Q4,4.2,2024-01-17T00:00:00.000Z
2024Q1,3.5,2024-04-16T23:00:00.000Z
2024Q2,2.1,2024-07-16T23:00:00.000Z
2024Q3,2.0,2024-10-15T23:00:00.000Z
2024Q4,2.5,2025-01-15T00:00:00.000Z
2025Q1,2.8,2025-04-15T23:00:00.000Z
2025Q2,3.5,2025-07-15T23:00:00.000Z
2025Q3,3.8,2025-10-21T23:00:00.000Z
2025Q4,3.4,2026-01-21T00:00:00.000Z
2026Q1,3.1,2026-04-21T23:00:00.000Z
2026Q2,2.8,2026-07-21T23:00:00.000Z
