period,value,updated
2002Q2,0.5,2022-11-11T00:00:00.000Z
2002Q3,0.6,2025-11-13T00:00:00.000Z
2002Q4,0.7,2025-11-13T00:00:00.000Z
2003Q1,0.8,2025-11-13T00:00:00.000Z
2003Q2,0.9,2022-11-11T00:00:00.000Z
2003Q3,1.0,2025-11-13T00:00:00.000Z
2003Q4,0.8,2021-11-11T00:00:00.000Z
2004Q1,0.3,2025-11-13T00:00:00.000Z
2004Q2,0.5,2025-11-13T00:00:00.000Z
2004Q3,0.4,2023-11-10T00:00:00.000Z
2004Q4,0.5,2023-11-10T00:00:00.000Z
2005Q1,0.8,2025-11-13T00:00:00.000Z
2005Q2,0.8,2023-11-10T00:00:00.000Z
2005Q3,0.9,2025-11-13T00:00:00.000Z
2005Q4,1.0,2025-11-13T00:00:00.000Z
2006Q1,0.4,2025-11-13T00:00:00.000Z
2006Q2,0.3,2025-11-13T00:00:00.000Z
2006Q3,0.2,2025-11-13T00:00:00.000Z
2006Q4,0.4,2025-11-13T00:00:00.000Z
2007Q1,1.1,2025-11-13T00:00:00.000Z
2007Q2,0.9,2025-11-13T00:00:00.000Z
2007Q3,0.9,2025-11-13T00:00:00.000Z
2007Q4,0.8,2025-11-13T00:00:00.000Z
2008Q1,0.4,2025-11-13T00:00:00.000Z
2008Q2,-0.5,2021-11-11T00:00:00.000Z
2008Q3,-1.6,2025-11-13T00:00:00.000Z
2008Q4,-2.1,2023-11-10T00:00:00.000Z
2009Q1,-2.0,2023-11-10T00:00:00.000Z
2009Q2,-0.3,2021-11-11T00:00:00.000Z
2009Q3,0.1,2018-08-09T23:00:00.000Z
2009Q4,0.3,2017-11-23T00:00:00.000Z
2010Q1,0.8,2025-11-13T00:00:00.000Z
2010Q2,1.1,2021-11-11T00:00:00.000Z
2010Q3,0.6,2022-11-11T00:00:00.000Z
2010Q4,0.1,2021-11-11T00:00:00.000Z
2011Q1,0.2,2025-11-13T00:00:00.000Z
2011Q2,0.0,2025-11-13T00:00:00.000Z
2011Q3,0.2,2025-11-13T00:00:00.000Z
2011Q4,0.1,2023-11-10T00:00:00.000Z
2012Q1,0.9,2023-11-10T00:00:00.000Z
2012Q2,-0.1,2016-08-25T23:00:00.000Z
2012Q3,1.0,2023-11-10T00:00:00.000Z
2012Q4,-0.1,2022-11-11T00:00:00.000Z
2013Q1,0.3,2023-11-10T00:00:00.000Z
2013Q2,0.7,2021-11-11T00:00:00.000Z
2013Q3,0.8,2023-11-10T00:00:00.000Z
2013Q4,0.7,2023-11-10T00:00:00.000Z
2014Q1,0.8,2023-11-10T00:00:00.000Z
2014Q2,0.9,2022-11-11T00:00:00.000Z
2014Q3,0.8,2022-11-11T00:00:00.000Z
2014Q4,0.7,2022-11-11T00:00:00.000Z
2015Q1,0.3,2023-11-10T00:00:00.000Z
2015Q2,0.5,2025-11-13T00:00:00.000Z
2015Q3,0.4,2022-11-11T00:00:00.000Z
2015Q4,0.6,2023-11-10T00:00:00.000Z
2016Q1,0.5,2025-11-13T00:00:00.000Z
2016Q2,0.7,2025-11-13T00:00:00.000Z
2016Q3,0.4,2021-11-11T00:00:00.000Z
2016Q4,0.6,2022-11-11T00:00:00.000Z
2017Q1,1.0,2025-11-13T00:00:00.000Z
2017Q2,0.9,2025-11-13T00:00:00.000Z
2017Q3,0.7,2025-11-13T00:00:00.000Z
2017Q4,0.8,2025-11-13T00:00:00.000Z
2018Q1,0.1,2022-11-11T00:00:00.000Z
2018Q2,0.2,2023-11-10T00:00:00.000Z
2018Q3,0.3,2023-11-10T00:00:00.000Z
2018Q4,0.1,2023-11-10T00:00:00.000Z
2019Q1,0.5,2025-11-13T00:00:00.000Z
2019Q2,0.2,2025-11-13T00:00:00.000Z
2019Q3,0.6,2025-11-13T00:00:00.000Z
2019Q4,0.0,2021-02-12T00:00:00.000Z
2020Q1,-2.7,2023-11-10T00:00:00.000Z
2020Q2,-19.9,2025-11-13T00:00:00.000Z
2020Q3,17.0,2025-11-13T00:00:00.000Z
2020Q4,1.4,2023-11-10T00:00:00.000Z
2021Q1,-1.1,2025-11-13T00:00:00.000Z
2021Q2,7.0,2025-11-13T00:00:00.000Z
2021Q3,1.7,2023-02-10T00:00:00.000Z
2021Q4,1.4,2025-11-13T00:00:00.000Z
2022Q1,1.0,2025-11-13T00:00:00.000Z
2022Q2,0.6,2025-11-13T00:00:00.000Z
2022Q3,0.1,2024-11-15T00:00:00.000Z
2022Q4,0.3,2024-11-15T00:00:00.000Z
2023Q1,0.1,2024-11-15T00:00:00.000Z
2023Q2,0.0,2024-02-15T00:00:00.000Z
2023Q3,-0.2,2025-11-13T00:00:00.000Z
2023Q4,-0.3,2025-11-13T00:00:00.000Z
2024Q1,0.7,2026-05-13T23:00:00.000Z
2024Q2,0.6,2025-11-13T00:00:00.000Z
2024Q3,0.2,2025-11-13T00:00:00.000Z
2024Q4,0.4,2026-05-13T23:00:00.000Z
2025Q1,0.6,2026-05-13T23:00:00.000Z
2025Q2,0.2,2026-08-12T23:00:00.000Z
2025Q3,0.1,2026-08-12T23:00:00.000Z
2025Q4,0.1,2026-08-12T23:00:00.000Z
2026Q1,0.6,2026-05-13T23:00:00.000Z
2026Q2,0.4,2026-08-12T23:00:00.000Z
